MESE;ORA;RUBINETTO (MIN);DOCCIA (MIN);LITRI (L)
GENNAIO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;4;60
;7;5;14;250
;8;7;0;56
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;3;0;24
;14;19;0;152
;15;1;0;8
;16;1;0;8
;17;1;0;8
;18;0,5;5;79
;19;0,5;0;4
;20;0,5;12;184
;21;2,5;0;20
;22;20;0;160
;23;0;4;60
;TOT;61;39;1073
FEBBRAIO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;3;45
;7;5;12;220
;8;7;0;56
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;3;0;24
;14;19;0;152
;15;1,5;0;12
;16;2;0;16
;17;1,5;0;12
;18;1,5;5;87
;19;1;0;8
;20;0,5;14;214
;21;1,5;0;12
;22;21;0;168
;23;0;0;0
;TOT;64,5;34;1026
MARZO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;3;45
;7;8;14;274
;8;7;0;56
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;3;0;24
;14;17;0;136
;15;1,5;0;12
;16;2;0;16
;17;1,5;0;12
;18;0;5;75
;19;1;0;8
;20;0,5;14;214
;21;1,5;0;12
;22;21;0;168
;23;0;0;0
;TOT;64;36;1052
APRILE;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;12;20;396
;8;11;0;88
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;15;0;120
;14;15;0;120
;15;1;0;8
;16;1,5;0;12
;17;0,5;0;4
;18;2;0;16
;19;0,5;7;109
;20;4;4;92
;21;15;0;120
;22;12;0;96
;23;1;0;8
;TOT;90,5;31;1189
MAGGIO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;11;19;373
;8;10;0;80
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;13;0;104
;14;12;0;96
;15;1;0;8
;16;1,5;0;12
;17;0,5;0;4
;18;2;0;16
;19;0,5;7;109
;20;5;4;100
;21;15;0;120
;22;13;0;104
;23;1;0;8
;TOT;85,5;30;1134
GIUGNO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;4;8;152
;8;7;0;56
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;11;0;88
;14;9;0;72
;15;1;10;158
;16;1;0;8
;17;0,5;0;4
;18;1;0;8
;19;0,5;0;4
;20;6;17;303
;21;11;0;88
;22;7;0;56
;23;0;4;60
;TOT;59;39;1057
LUGLIO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;5;10;190
;8;8;0;64
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;11;0;88
;14;9;0;72
;15;0,5;15;229
;16;1;0;8
;17;0,5;0;4
;18;1;0;8
;19;0,5;0;4
;20;5;17;295
;21;10;0;80
;22;7;0;56
;23;0;4;60
;TOT;58,5;46;1158
AGOSTO;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;7;5;131
;8;6;5;123
;9;0,2;0;1,6
;10;0,3;0;2,4
;11;0,2;5;76,6
;12;0;0;0
;13;12;0;96
;14;10;0;80
;15;0;0;0
;16;1;10;158
;17;2;0;16
;18;0,2;0;1,6
;19;0,3;0;2,4
;20;4;0;32
;21;11;0;88
;22;6;10;198
;23;0;0;0
;TOT;60,2;35;1007
SETTEMBRE;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;6;9;183
;8;8;0;64
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;13;0;104
;14;11;0;88
;15;0,5;11;169
;16;2;0;16
;17;2;0;16
;18;0,5;0;4
;19;2;0;16
;20;12;20;396
;21;13;0;104
;22;0,5;0;4
;23;0,5;0;4
;TOT;71;40;1168
OTTOBRE;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;9;16;312
;8;8;3;109
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;13;0;104
;14;11;0;88
;15;0,5;0;4
;16;2;0;16
;17;2;0;16
;18;1;0;8
;19;2;0;16
;20;12;15;321
;21;13;0;104
;22;3;0;24
;23;0,5;0;4
;TOT;77;34;1126
NOVEMBRE;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;0;0
;7;6;11;213
;8;7;3;101
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;12;0;96
;14;11;5;163
;15;1;0;8
;16;3;0;24
;17;2;0;16
;18;0,5;0;4
;19;0,5;13;199
;20;8;6;154
;21;10;5;155
;22;5;0;40
;23;0,2;0;1,6
;TOT;66,2;43;1175
DICEMBRE;0;0;0;0
;1;0;0;0
;2;0;0;0
;3;0;0;0
;4;0;0;0
;5;0;0;0
;6;0;4;60
;7;8;12;244
;8;7;0;56
;9;0;0;0
;10;0;0;0
;11;0;0;0
;12;0;0;0
;13;3;0;24
;14;18;0;144
;15;1;0;8
;16;0,5;0;4
;17;2;0;16
;18;0,5;5;79
;19;1;0;8
;20;0,5;11;169
;21;2;0;16
;22;19;0;152
;23;0;4;60
;TOT;62,5;36;1040
